id,eventId,section,sectionId,sectionMapName,sectionType,row,seat,seatFrom,seatTo,seatFromInternal,hasSeatDetails,hasSeatDetailsExpansion,availableTickets,formattedFees,showRecentlySold,showPartnershipLogo,availableQuantities,ticketClass,ticketClassName,maxQuantity,hasListingNotes,listingNotes,listingNoteBuckets,rowId,isUsersListing,isPreUploaded,rowContent,isSpeculativeRow,rawPrice,price,formattedTotalPrice,ticketTypeId,ticketTypeName,ticketTypeGroupId,listingTypeId,listingCurrencyCode,buyerCurrencyCode,faceValue,faceValueCurrencyCode,vfsUrl,formattedActiveSince,formattedDealScore,isSeatedTogether,showVfsInListing,hideSeatAndRowInfo,isUnmappedSection,aipHash,isMLBVerified,createdDateTime,showCheapestTag,showBestDealTag,showBestDealInSectionTag,showFanFavoriteTag,showBestViewTag,showTopChoiceTag,topChoiceBucket,isMostAffordable,isZoneTicketClass,isSponsored,isSponsoredSecondary,isMirrorListing,crossSellSource,isCheapestListing,isFavorite,aggregateFavorites,listingId,canBeRelisted,listingImpressionId,isBetterValueListing,hasRowLevelVfs,isDealScoreEligibleForDisplay,inventoryListingScore.starRating,inventoryListingScore.dealScore,inventoryListingScore.seatQualityScore,bestPriceTagMessage.message,bestPriceTagMessage.disclaimer,bestPriceTagMessage.hasValue,bestPriceTagMessage.featureTrackingKey,listingHighlightData.highlightSiteMessagesWithType,listingHighlightData.listingNoteIdsReplacedByHighlight,bestSellingInSectionMessage.message,bestSellingInSectionMessage.disclaimer,bestSellingInSectionMessage.hasValue,lastTicketInSectionMessage.message,lastTicketInSectionMessage.hasValue,strikeThroughPrice,strikeThroughDiscountPercent,strikeThroughAmountOff,bestDealTagMessage.message,bestDealTagMessage.hasValue,bestDealTagMessage.featureTrackingKey,hiddenGemMessage.message,hiddenGemMessage.hasValue,hiddenGemMessage.featureTrackingKey,bestViewTagMessage.message,bestViewTagMessage.disclaimer,bestViewTagMessage.hasValue,bestViewTagMessage.featureTrackingKey
13387808472,153020449,327,122920,327,2,19,24_24,24,24,24,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113850,False,False,Row 19,False,1544428,"¥1,544,428","¥1,544,428",10,Mobile Transfer ticket,3,1,USD,JPY,1000.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",16 hours ago,7,False,False,False,False,Wx%2fh%2fYeIhlKJtPe2B4Q%2bCIG%2f6f%2f%2fKxWQENe9%2bF5kWq4%3d,False,2026-07-18T00:57:33.0300000Z,True,False,False,False,False,False,0,False,False,False,False,False,0,True,False,0,13387808472,False,A7D201E3-7726-4DCD-829C-003B1D0B0851,False,False,True,4,7.183314697166307,0.7703844537,Best price,Lowest priced listing for the selected quantity for this event on our site.,True,6aa8a73f-b069-4147-a316-ffc9e9280c2b,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '50 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,
13388100640,153020449,349,122942,349,2,17,13_13,13,13,13,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2114021,False,False,Row 17,False,1593555,"¥1,593,555","¥1,593,555",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122942/0.jpg?im=Resize=(500,271)&v=771",15 hours ago,7,False,False,False,False,Mr0MNi8V1Zg77eq10DD0SmypbppCtndW9ARbzebli8w%3d,False,2026-07-18T02:03:33.4600000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13388100640,False,FC9FB517-664D-4B47-955B-56FC966ACE65,False,False,True,3,6.846686642885966,0.7592844362,,,,,"[{'message': 'Popular Pick', 'qualifier': '50 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,Last ticket,True,,,,,,,,,,,,,
13391938511,153020449,348,122941,348,2,24,_,,,,False,False,2,,False,False,"[1, 2]",407,Upper,2,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2114006,False,False,Row 24,False,1606422,"¥1,606,422","¥1,606,422",10,Mobile Transfer ticket,3,1,USD,JPY,2790.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122941/0.jpg?im=Resize=(500,271)&v=771",3 minutes ago,6,False,False,False,False,n0K7xWx%2fib2IFCZFZx9tYBzUtPeGXd5x5I5FoPUGarc%3d,False,2026-07-18T17:10:34.9030000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13391938511,False,AD3E98CF-5DD1-4DC9-AE45-BC84C561A767,False,False,True,3,6.449015567130198,0.7287039177,,,,,"[{'message': 'Popular Pick', 'qualifier': '50 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,
13391897530,153020449,321,122914,321,2,17,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113716,False,False,Row 17,False,1625527,"¥1,625,527","¥1,625,527",10,Mobile Transfer ticket,3,1,USD,JPY,2600.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122914/0.jpg?im=Resize=(500,271)&v=771",8 minutes ago,6,False,False,False,False,6MDVGI%2bEP7IzFvNIGNlulbMVhHrDub0LTdYgTY9OwJI%3d,False,2026-07-18T17:05:32.8970000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13391897530,False,EB17C8E7-ED31-47D9-AF78-7CBAA1E0D2E8,False,False,True,3,6.238320798229029,0.7190986817,,,,,"[{'message': 'Popular Pick', 'qualifier': '50 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,Last ticket,True,,,,,,,,,,,,,
13391570992,153020449,327,122920,327,2,18,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113849,False,False,Row 18,False,1635079,"¥1,635,079","¥1,635,079",10,Mobile Transfer ticket,3,1,USD,JPY,6000.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",an hour ago,7,False,False,False,False,xsHvFm2x74XdKkwfzTXW6M9bbM1Idd0OD1Q1LroysWc%3d,False,2026-07-18T15:44:48.5430000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13391570992,False,CF6D6BC8-EF81-4C0D-9139-80FCADEC0BF2,False,False,True,3,6.8069024605883826,0.7751677852,,,,,"[{'message': 'Popular Pick', 'qualifier': '50 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,
13387899722,153020449,307,122900,307,2,16,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703665,False,False,Row 16,False,1650226,"¥1,650,226","¥1,650,226",10,Mobile Transfer ticket,3,14,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122900/0.jpg?im=Resize=(500,271)&v=771",15 hours ago,8,False,False,False,False,ggX7%2bKjWvE%2fEx4VcPLf6pg4MaMq84bImHP74FtJcNjU%3d,False,2026-07-18T01:19:56.0030000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13387899722,False,01CC7F23-E3C2-4308-AE51-556847833BC0,False,False,True,4,8.163703986250765,0.9594904744,,,,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '50 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,"¥2,365,817",30.0,"¥715,591",,,,,,,,,,
13386324506,153020449,310,122903,310,2,20,_,,,,False,False,4,,False,False,"[1, 2, 3, 4]",407,Upper,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703735,False,False,Row 20,False,1650779,"¥1,650,779","¥1,650,779",10,Mobile Transfer ticket,3,1,EUR,JPY,1222.0,EUR,"https://img.vggcdn.net/img/vfsimage2/812551/407_122903/0.jpg?im=Resize=(500,271)&v=771",19 hours ago,6,False,False,False,False,e%2brR7xGXvLO48wUuZ6CIK%2bSS7TUElpeSqvkTbnvyFRM%3d,False,2026-07-17T21:20:55.5370000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13386324506,False,C6786F97-D572-43C7-A975-469930028CF3,False,False,True,3,5.911143879231584,0.7032113034,,,,,"[{'message': 'Popular Pick', 'qualifier': '50 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,Last tickets,True,"¥2,180,766",24.0,"¥529,987",,,,,,,,,,
13318315128,153020449,311,122904,311,2,21,_,,,,False,False,4,,False,False,"[1, 2, 3, 4]",407,Upper,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703758,False,False,Row 21,False,1650779,"¥1,650,779","¥1,650,779",10,Mobile Transfer ticket,3,1,EUR,JPY,1222.0,EUR,"https://img.vggcdn.net/img/vfsimage2/812551/407_122904/0.jpg?im=Resize=(500,271)&v=771",7 days ago,5,False,False,False,False,e%2brR7xGXvLO48wUuZ6CIK%2bSS7TUElpeSqvkTbnvyFRM%3d,False,2026-07-10T19:24:07.4600000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13318315128,False,2147632D-139F-4B48-9BC9-8772D0E3693A,False,False,True,3,5.2072615599656435,0.6512872162,,,,,"[{'message': 'Popular Pick', 'qualifier': '50 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,
13383703396,153020449,320,122913,320,2,25,23_24,,,23,False,False,2,,False,False,"[1, 2]",407,Upper,2,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703960,False,False,Row 25,False,1653433,"¥1,653,433","¥1,653,433",10,Mobile Transfer ticket,3,1,USD,JPY,0.01,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122913/0.jpg?im=Resize=(500,271)&v=771",yesterday,10,False,False,False,False,UAM5LmgaqXZLr8UKfSgBeO0S2BnP0SES5frdDQ2ButU%3d,False,2026-07-17T15:42:32.5800000Z,False,True,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13383703396,False,128F8D08-B612-4549-9E7A-F5BDDF83A588,False,False,True,5,10,1.728582708,,,,,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '50 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,,Best deal,True,6aa8a73f-b069-4147-a316-ffc9e9280c2b,,,,,,,
13311688135,153020449,306,122899,306,2,24,_,,,,False,False,3,,False,False,"[1, 2, 3]",407,Upper,3,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113699,False,False,Row 24,False,1663738,"¥1,663,738","¥1,663,738",10,Mobile Transfer ticket,3,1,USD,JPY,2790.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122899/0.jpg?im=Resize=(500,271)&v=771",8 days ago,6,False,False,False,False,DKxKtmeyXt8lvJjm8O3K3UUs%2bBzAvzFwaP%2fLGBq9vug%3d,False,2026-07-10T07:01:59.7500000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13311688135,False,4343F9D0-8F8B-4F8C-A5A0-54E7AF271FDB,False,False,True,3,6.099779731530786,0.7242058546,,,,,"[{'message': 'Popular Pick', 'qualifier': '50 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,Last tickets,True,,,,,,,,,,,,,
