id,eventId,section,sectionId,sectionMapName,sectionType,row,seat,seatFrom,seatTo,seatFromInternal,hasSeatDetails,hasSeatDetailsExpansion,availableTickets,formattedFees,showRecentlySold,showPartnershipLogo,availableQuantities,ticketClass,ticketClassName,maxQuantity,hasListingNotes,listingNotes,listingNoteBuckets,rowId,isUsersListing,isPreUploaded,rowContent,isSpeculativeRow,rawPrice,price,formattedTotalPrice,strikeThroughPrice,strikeThroughDiscountPercent,strikeThroughAmountOff,ticketTypeId,ticketTypeName,ticketTypeGroupId,listingTypeId,listingCurrencyCode,buyerCurrencyCode,faceValue,faceValueCurrencyCode,vfsUrl,formattedActiveSince,formattedDealScore,isSeatedTogether,showVfsInListing,hideSeatAndRowInfo,isUnmappedSection,aipHash,isMLBVerified,createdDateTime,showCheapestTag,showBestDealTag,showBestDealInSectionTag,showFanFavoriteTag,showBestViewTag,showTopChoiceTag,topChoiceBucket,isMostAffordable,isZoneTicketClass,isSponsored,isSponsoredSecondary,isMirrorListing,crossSellSource,isCheapestListing,isFavorite,aggregateFavorites,listingId,canBeRelisted,listingImpressionId,isBetterValueListing,hasRowLevelVfs,isDealScoreEligibleForDisplay,inventoryListingScore.starRating,inventoryListingScore.dealScore,inventoryListingScore.seatQualityScore,lastTicketInSectionMessage.message,lastTicketInSectionMessage.hasValue,bestPriceTagMessage.message,bestPriceTagMessage.disclaimer,bestPriceTagMessage.hasValue,bestPriceTagMessage.featureTrackingKey,listingHighlightData.highlightSiteMessagesWithType,listingHighlightData.listingNoteIdsReplacedByHighlight,bestSellingInSectionMessage.message,bestSellingInSectionMessage.disclaimer,bestSellingInSectionMessage.hasValue,hiddenGemMessage.message,hiddenGemMessage.hasValue,hiddenGemMessage.featureTrackingKey,bestDealTagMessage.message,bestDealTagMessage.hasValue,bestDealTagMessage.featureTrackingKey
13396637450,153020449,333,122926,333,2,17,18_18,18,18,18,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",704238,False,False,Row 17,False,1254855,"¥1,254,855","¥1,254,855","¥1,710,856",27.0,"¥456,001",10,Mobile Transfer ticket,3,1,USD,JPY,7380.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122926/0.jpg?im=Resize=(500,271)&v=771",an hour ago,6.9,False,False,False,False,9H32jil1Si5HI9Dc1o2%2fmeUw1IRpsfZln43Bw%2bizV3U%3d,False,2026-07-19T12:20:11.0470000Z,True,False,False,False,False,False,0,False,False,False,False,False,0,True,False,0,13396637450,False,CC692533-E004-4B00-AE0E-F981C51DC88E,False,False,True,3,6.927195500325195,0.7412203929,Last ticket,True,Best price,Lowest priced listing for the selected quantity for this event on our site.,True,6aa8a73f-b069-4147-a316-ffc9e9280c2b,"[{'message': 'Popular Pick', 'qualifier': '163 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,
13397543332,153020449,303,122896,303,2,,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",108868,False,False,Row,True,1267526,"¥1,267,526","¥1,267,526",,,,10,Mobile Transfer ticket,3,1,USD,JPY,4116.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122896/0.jpg?im=Resize=(500,271)&v=771",3 minutes ago,6.5,False,False,False,False,smfdYjBePd2TcxoMry7WPt%2fOgCOHv0wTROo%2bhSt1YaE%3d,False,2026-07-19T13:57:50.9430000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13397543332,False,7168A6CA-A031-4FFC-92AE-DFDB3E0581AA,False,False,True,3,6.514218349343159,0.7132467024,,,,,,,"[{'message': 'Popular Pick', 'qualifier': '163 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,
13397454476,153020449,348,122941,348,2,24,_,,,,False,False,2,,False,False,"[1, 2]",407,Upper,2,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2114006,False,False,Row 24,False,1277272,"¥1,277,272","¥1,277,272",,,,10,Mobile Transfer ticket,3,1,USD,JPY,2790.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122941/0.jpg?im=Resize=(500,271)&v=771",11 minutes ago,6.6,False,False,False,False,lztDFPSQmotpaCObmrRBb7B%2f8pnnMfdug1BNhA9PWU4%3d,False,2026-07-19T13:49:51.5870000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13397454476,False,4291827F-B8B7-4E65-BDE7-0743849F23AF,False,False,True,3,6.633527421970405,0.7287039177,Last tickets,True,,,,,"[{'message': 'Popular Pick', 'qualifier': '163 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,
13390051010,153020449,Category 3,1989401,Category 3,3,,_,,,,False,False,5,,False,False,"[1, 3, 5]",1247,Category 3,5,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",3325460,False,False,Row,True,1287019,"¥1,287,019","¥1,287,019","¥2,172,987",41.0,"¥885,968",10,Mobile Transfer ticket,3,1,USD,JPY,100.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/1247_1989401/0.jpg?im=Resize=(500,271)&v=771",yesterday,9.4,False,False,True,False,3XBLSdvur8KurPjhDa8sXSXbffr5AtxqdXOcNfnbdXM%3d,False,2026-07-18T10:43:07.6670000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13390051010,False,68335263-E6B4-427D-B81A-14C2C78CBEA0,False,False,True,5,9.41618469177937,1.25740229,Last tickets,True,,,,,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '163 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,
13396254801,153020449,304,122897,304,2,23,_,,,,False,False,8,,False,False,"[1, 2, 3, 4, 5, 6, 7, 8]",407,Upper,8,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113654,False,False,Row 23,False,1287019,"¥1,287,019","¥1,287,019",,,,10,Mobile Transfer ticket,3,1,USD,JPY,2790.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122897/0.jpg?im=Resize=(500,271)&v=771",3 hours ago,6.5,False,False,False,False,3XBLSdvur8KurPjhDa8sXSXbffr5AtxqdXOcNfnbdXM%3d,False,2026-07-19T10:53:36.3770000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13396254801,False,45B5D31E-DE3C-421B-84F9-FF0DDE34140E,False,False,True,3,6.473862482325683,0.7208835704,,,,,,,"[{'message': 'Popular Pick', 'qualifier': '163 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,
13311781074,153020449,305,122898,305,2,17,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113670,False,False,Row 17,False,1287019,"¥1,287,019","¥1,287,019","¥2,013,634",36.0,"¥726,615",10,Mobile Transfer ticket,3,1,USD,JPY,5785.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122898/0.jpg?im=Resize=(500,271)&v=771",9 days ago,6.4,False,False,False,False,3XBLSdvur8KurPjhDa8sXSXbffr5AtxqdXOcNfnbdXM%3d,False,2026-07-10T07:19:52.1000000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13311781074,False,97BF0AF4-56A5-4C5E-8320-BE41454FD7F6,False,False,True,3,6.441648171682548,0.7182422299,,,,,,,"[{'message': 'Popular Pick', 'qualifier': '163 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,
13397399944,153020449,322,122915,322,2,13,_,,,,False,False,3,,False,False,"[1, 3]",407,Upper,3,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113734,False,False,Row 13,False,1291280,"¥1,291,280","¥1,291,280",,,,10,Mobile Transfer ticket,3,1,USD,JPY,5785.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122915/0.jpg?im=Resize=(500,271)&v=771",16 minutes ago,6.9,False,False,False,False,lbtXxFCySmyN0hcsyY9khE%2bgydwAxsQ2VELswDtoKHA%3d,False,2026-07-19T13:44:32.3300000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13397399944,False,BF73AC81-559A-4AC2-B3BF-80A18679C49B,False,False,True,3,6.892517856581199,0.7595732072,,,,,,,"[{'message': 'Popular Pick', 'qualifier': '163 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],Fan favorite,This section has the highest count of successful sales for this event over the past 7 days on our site,True,,,,,,
13393855519,153020449,325,122918,325,2,19,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113806,False,False,Row 19,False,1291472,"¥1,291,472","¥1,291,472",,,,10,Mobile Transfer ticket,3,1,USD,JPY,6758.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122918/0.jpg?im=Resize=(500,271)&v=771",13 hours ago,7.2,False,False,False,False,ySVLzngs8iPXrELhoxUNYTaM92DOs0hXBxKkutoX%2bC0%3d,False,2026-07-19T00:31:36.9500000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13393855519,False,AFBD2B8D-1DD1-495D-AF37-EAF1E920B84E,False,False,True,4,7.218001830022691,0.7938276426,Last ticket,True,,,,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '163 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,
13393855527,153020449,350,122943,350,2,13,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2114039,False,False,Row 13,False,1291472,"¥1,291,472","¥1,291,472",,,,10,Mobile Transfer ticket,3,1,USD,JPY,6758.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122943/0.jpg?im=Resize=(500,271)&v=771",13 hours ago,7.0,False,False,False,False,ySVLzngs8iPXrELhoxUNYTaM92DOs0hXBxKkutoX%2bC0%3d,False,2026-07-19T00:31:37.4270000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13393855527,False,DBFDD061-6462-43C4-B720-58B06075B3CD,False,False,True,3,6.963775032444067,0.7662312632,,,,,,,"[{'message': 'Popular Pick', 'qualifier': '163 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,
13395533970,153020449,350,122943,350,2,12,15_18,,,15,False,False,4,,False,False,"[1, 2, 4]",407,Upper,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2114038,False,False,Row 12,False,1293257,"¥1,293,257","¥1,293,257",,,,10,Mobile Transfer ticket,3,1,USD,JPY,23140.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122943/0.jpg?im=Resize=(500,271)&v=771",7 hours ago,7.0,False,False,False,False,dIDwvwZcfEz%2bBZoEZpVG9%2bHMBKTLL9c87S5LMFCddJ4%3d,False,2026-07-19T06:50:10.7030000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13395533970,False,CED45B8F-03AF-41D5-B4A5-2060CDFBEC7C,False,False,True,3,6.989999732713788,0.7697319233,,,,,,,"[{'message': 'Popular Pick', 'qualifier': '163 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,
