id,eventId,section,sectionId,sectionMapName,sectionType,row,seat,seatFromInternal,hasSeatDetails,hasSeatDetailsExpansion,availableTickets,formattedFees,showRecentlySold,showPartnershipLogo,availableQuantities,ticketClass,ticketClassName,maxQuantity,hasListingNotes,listingNotes,listingNoteBuckets,rowId,isUsersListing,isPreUploaded,rowContent,isSpeculativeRow,rawPrice,price,formattedTotalPrice,strikeThroughPrice,strikeThroughDiscountPercent,strikeThroughAmountOff,ticketTypeId,ticketTypeName,ticketTypeGroupId,listingTypeId,listingCurrencyCode,buyerCurrencyCode,faceValue,faceValueCurrencyCode,vfsUrl,formattedActiveSince,formattedDealScore,isSeatedTogether,showVfsInListing,hideSeatAndRowInfo,isUnmappedSection,aipHash,isMLBVerified,createdDateTime,showCheapestTag,showBestDealTag,showBestDealInSectionTag,showFanFavoriteTag,showBestViewTag,showTopChoiceTag,topChoiceBucket,isMostAffordable,isZoneTicketClass,isSponsored,isSponsoredSecondary,isMirrorListing,crossSellSource,isCheapestListing,isFavorite,aggregateFavorites,listingId,canBeRelisted,listingImpressionId,isBetterValueListing,hasRowLevelVfs,isDealScoreEligibleForDisplay,inventoryListingScore.starRating,inventoryListingScore.dealScore,inventoryListingScore.seatQualityScore,adAttributes.bidId,listingHighlightData.highlightSiteMessagesWithType,listingHighlightData.listingNoteIdsReplacedByHighlight,seatFrom,seatTo,winningMerchTags,suppressedMerchTags,bestSellingInSectionMessage.message,bestSellingInSectionMessage.disclaimer,bestSellingInSectionMessage.hasValue,bestPriceTagMessage.message,bestPriceTagMessage.disclaimer,bestPriceTagMessage.hasValue,bestPriceTagMessage.featureTrackingKey,lastTicketInSectionMessage.message,lastTicketInSectionMessage.hasValue,hiddenGemMessage.message,hiddenGemMessage.hasValue,hiddenGemMessage.featureTrackingKey,bestDealTagMessage.message,bestDealTagMessage.hasValue,bestDealTagMessage.featureTrackingKey
13390917126,153020449,109,122787,109,2,17,5_6,5,False,False,2,,False,False,"[1, 2]",594,Lower,2,True,"[{'listingNoteId': 814, 'listingNoteContentId': 2446060, 'formattedListingNoteContent': 'Limited or Obstructed View (printed on ticket)', 'listingNoteTypeId': 1, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 2446061, 'formattedListingNoteDescription': 'Limited or Obstructed View (printed on ticket)'}, {'listingNoteId': 807, 'listingNoteContentId': 2446046, 'formattedListingNoteContent': ""Piggyback seats - they're together in two consecutive rows"", 'listingNoteTypeId': 1, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 2446047, 'formattedListingNoteDescription': ""Piggyback seats - they're together in two consecutive rows""}]","[{'listingNoteBucketId': 15, 'formattedListingNoteContent': ""Piggyback seats - they're together in two consecutive rows"", 'displayOrder': 15, 'showsRawNoteText': True, 'sourceListingNoteId': 807}, {'listingNoteBucketId': 21, 'formattedListingNoteContent': 'Limited view', 'displayOrder': 21, 'showsRawNoteText': False}]",2112294,False,False,Row 17,False,1949799,"¥1,949,799","¥1,949,799","¥3,145,210",38.0,"¥1,195,411",10,Mobile Transfer ticket,3,1,USD,JPY,5750.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/594_122787/0.jpg?im=Resize=(500,271)&v=771",14 hours ago,8.7,False,False,False,False,6YnfzRINp2Zr269ode%2bNCcZk2PT0ws70Dc%2fbtkVDTGw%3d,False,2026-07-18T13:17:17.0430000Z,False,False,False,False,False,False,0,False,False,True,False,False,0,False,False,0,13390917126,False,AE9D8059-7586-4D21-AF87-DB335433218D,False,False,True,5,8.659235914335337,1.464883945,019F787C-9285-70E0-B287-E0C14C3A6949,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '90 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,,
13393862134,153020449,327,122920,327,2,18,6_6,6,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113849,False,False,Row 18,False,1303101,"¥1,303,101","¥1,303,101",,,,10,Mobile Transfer ticket,3,1,USD,JPY,5000.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",3 hours ago,7.2,False,False,False,False,2mPUn8y7VrvcnampxWi%2bs%2fx3qI9BbBoLPuIqKF0IqVQ%3d,False,2026-07-19T00:34:32.2770000Z,True,False,False,True,False,False,0,False,False,False,False,False,0,True,False,0,13393862134,False,79441191-8DA9-4C9D-80CB-B213B0773EE6,False,False,True,4,7.245268284557025,0.7751677852,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '90 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],6,6,[2],[6],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,Best price,Lowest priced listing for the selected quantity for this event on our site.,True,6aa8a73f-b069-4147-a316-ffc9e9280c2b,,,,,,,,
13393860602,153020449,327,122920,327,2,17,6_6,6,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113848,False,False,Row 17,False,1307487,"¥1,307,487","¥1,307,487",,,,10,Mobile Transfer ticket,3,1,USD,JPY,5000.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",3 hours ago,7.3,False,False,False,False,ZEB0CrTd1E1SZzvh8ZX6ultiyUV7v8niNhb5b1I6pv0%3d,False,2026-07-19T00:33:27.0930000Z,False,False,False,True,False,False,0,False,False,False,False,False,0,False,False,0,13393860602,False,5FC22A51-2291-4B5E-A1E1-C17F6D4C56E0,False,False,True,4,7.26487229560655,0.7799804895,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '90 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],6,6,[6],,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,,,,,,,,
13393872843,153020449,326,122919,326,2,7,3_3,3,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': 2027, 'listingNoteContentId': 3415845, 'formattedListingNoteContent': 'Third Row of Section', 'listingNoteTypeId': 6, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3415845, 'formattedListingNoteDescription': 'Third Row of Section'}, {'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 14, 'formattedListingNoteContent': 'Third Row of Section', 'displayOrder': 14, 'showsRawNoteText': True, 'sourceListingNoteId': 2027}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113838,False,False,Row 7,False,1309242,"¥1,309,242","¥1,309,242",,,,10,Mobile Transfer ticket,3,1,USD,JPY,5000.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122919/0.jpg?im=Resize=(500,271)&v=771",3 hours ago,7.2,False,False,False,False,ByUY%2b%2bcPaUk7cX8s%2fat6LZl2Jbsfo2GpfFxzs9ZpWE0%3d,False,2026-07-19T00:37:07.2530000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13393872843,False,9A03B979-6965-4A22-BC47-2C3767B905AB,False,False,True,4,7.233411139897779,0.7774937024,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '90 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}, {'message': 'Third Row', 'qualifier': 'Excellent proximity to the action', 'hasValue': True, 'messageType': 'ThirdRowTicketAttributeBased'}]",[2027],3,3,[7],,,,,,,,,Last ticket,True,,,,,,
13393854317,153020449,325,122918,325,2,20,27_27,27,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113807,False,False,Row 20,False,1316259,"¥1,316,259","¥1,316,259",,,,10,Mobile Transfer ticket,3,1,USD,JPY,5000.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122918/0.jpg?im=Resize=(500,271)&v=771",3 hours ago,7.3,False,False,False,False,5%2bvCUEVVu3exJ%2fja3%2b0F6l44%2f16Vrgs9lh20LN58HEw%3d,False,2026-07-19T00:31:05.7930000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13393854317,False,22487DE3-7939-4125-A572-FDCA18EEDC6C,False,False,True,4,7.294599798264545,0.7886019214,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '90 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],27,27,,,,,,,,,,,,,,,,,
13209691983,153020449,321,122914,321,2,23,26_26,26,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': 2351, 'listingNoteContentId': 4249194, 'formattedListingNoteContent': 'This ticket cannot be transferred again after you receive it', 'listingNoteTypeId': 2, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 4249195, 'formattedListingNoteDescription': 'These tickets will be delivered via the FWC2026 Mobile Tickets app, which restricts subsequent transfer'}, {'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 0, 'formattedListingNoteContent': 'This ticket cannot be transferred again after you receive it', 'displayOrder': 30, 'showsRawNoteText': True, 'sourceListingNoteId': 2351}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113722,False,False,Row 23,False,1338264,"¥1,338,264","¥1,338,264",,,,10,Mobile Transfer ticket,3,1,EUR,JPY,1750.0,EUR,"https://img.vggcdn.net/img/vfsimage2/812551/407_122914/0.jpg?im=Resize=(500,271)&v=771",17 days ago,6.3,False,False,False,False,kSOE9kt8%2f%2bv7qbSh%2f6ZGtbUHVevUYptiPoSl4cyb%2bMA%3d,False,2026-07-01T19:25:45.0500000Z,False,False,False,True,False,False,0,False,False,False,False,False,0,False,False,0,13209691983,False,40A6654F-DA3D-4EFD-9DB5-9873551BFCD5,False,False,True,3,6.257787859854943,0.6980860223,,"[{'message': 'Popular Pick', 'qualifier': '90 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,[6],,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,,,,,,,,
13393531321,153020449,345,122938,345,2,20,26_26,26,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': 106, 'listingNoteContentId': 1683691, 'formattedListingNoteContent': 'Under 15s accompanied by an adult', 'listingNoteTypeId': 2, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 1683692, 'formattedListingNoteDescription': 'Children under 15 must be accompanied by an adult aged 18 or over.'}, {'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 24, 'formattedListingNoteContent': 'Under 15s accompanied by an adult', 'displayOrder': 24, 'showsRawNoteText': True, 'sourceListingNoteId': 106}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",704502,False,False,Row 20,False,1347059,"¥1,347,059","¥1,347,059",,,,10,Mobile Transfer ticket,3,1,USD,JPY,8700.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122938/0.jpg?im=Resize=(500,271)&v=771",4 hours ago,8.1,False,False,False,False,tp2YGCo2ZL5YN%2fLr123zaMEevc0Pq0ZLxw40jL6tYqo%3d,False,2026-07-18T23:11:35.0930000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13393531321,False,EFC171BD-799B-4154-94BC-B174C6CC3902,False,False,True,4,8.14034601387119,0.9199456835,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '90 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],26,26,[7],,,,,,,,,Last ticket,True,,,,,,
13393649097,153020449,350,122943,350,2,13,12_12,12,False,False,1,,False,False,[1],407,Upper,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2114039,False,False,Row 13,False,1354096,"¥1,354,096","¥1,354,096","¥1,706,085",21.0,"¥351,989",10,Mobile Transfer ticket,3,1,USD,JPY,5750.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122943/0.jpg?im=Resize=(500,271)&v=771",4 hours ago,6.9,False,False,False,False,PM5zJiLLcC4xE%2fTGrO92Cg0fXXz976hQ5VBUetX1mO8%3d,False,2026-07-18T23:37:31.1530000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13393649097,False,A1C64DC2-4CB9-4CA0-8DCD-CF78E43F7171,False,False,True,3,6.891029789007484,0.7662312632,,"[{'message': 'Popular Pick', 'qualifier': '90 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,[7],,,,,,,,,Last ticket,True,,,,,,
13379190428,153020449,303,122896,303,2,,_,,False,False,10,,False,False,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",407,Upper,10,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",108868,False,False,Row,True,1364993,"¥1,364,993","¥1,364,993","¥2,483,380",45.0,"¥1,118,387",10,Mobile Transfer ticket,3,1,USD,JPY,4116.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122896/0.jpg?im=Resize=(500,271)&v=771",2 days ago,6.3,False,False,False,False,qZ97yPUWzENar0VwjPFR1S81PMtPvZVbTwr2FaZkyPE%3d,False,2026-07-17T02:40:03.3400000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13379190428,False,7622E3AA-7FF9-4484-800E-79D053AB69AB,False,False,True,3,6.271571345973808,0.7132467024,,"[{'message': 'Popular Pick', 'qualifier': '90 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,,
13394336844,153020449,301,122894,301,2,5,_,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': 2025, 'listingNoteContentId': 3415843, 'formattedListingNoteContent': 'Front Row of Section', 'listingNoteTypeId': 6, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3415843, 'formattedListingNoteDescription': 'Front Row of Section'}, {'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 14, 'formattedListingNoteContent': 'Front Row of Section', 'displayOrder': 14, 'showsRawNoteText': True, 'sourceListingNoteId': 2025}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113592,False,False,Row 5,False,1366358,"¥1,366,358","¥1,366,358",,,,10,Mobile Transfer ticket,3,1,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122894/0.jpg?im=Resize=(500,271)&v=771",58 minutes ago,7.2,False,False,False,False,Upk%2b0f3WVKXtfhpSpLV5wUYIAwecUIw0EwZ8rjQ3mrg%3d,False,2026-07-19T02:49:26.4400000Z,False,False,False,False,False,False,0,False,False,False,False,False,0,False,False,0,13394336844,False,5C1CD4EB-8DC4-43C1-9FB5-0087D2FB70AC,False,False,True,4,7.197218811043851,0.8072224115,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '90 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}, {'message': 'Front Row', 'qualifier': 'Best seats in the house', 'hasValue': True, 'messageType': 'FirstRowTicketAttributeBased'}]",[2025],,,,,,,,,,,,,,,,,,,
