id,eventId,section,sectionId,sectionMapName,sectionType,row,seat,seatFrom,seatTo,seatFromInternal,hasSeatDetails,hasSeatDetailsExpansion,availableTickets,formattedFees,showRecentlySold,showPartnershipLogo,availableQuantities,ticketClass,ticketClassName,maxQuantity,hasListingNotes,listingNotes,listingNoteBuckets,rowId,isUsersListing,isPreUploaded,rowContent,isSpeculativeRow,rawPrice,price,formattedTotalPrice,ticketTypeId,ticketTypeName,ticketTypeGroupId,listingTypeId,listingCurrencyCode,buyerCurrencyCode,faceValue,faceValueCurrencyCode,vfsUrl,formattedActiveSince,formattedDealScore,isSeatedTogether,showVfsInListing,hideSeatAndRowInfo,isUnmappedSection,aipHash,isMLBVerified,createdDateTime,showCheapestTag,showBestDealTag,showBestDealInSectionTag,showFanFavoriteTag,showBestViewTag,showTopChoiceTag,topChoiceBucket,isMostAffordable,winningMerchTags,isZoneTicketClass,isSponsored,isSponsoredSecondary,isMirrorListing,crossSellSource,isCheapestListing,isFavorite,aggregateFavorites,listingId,canBeRelisted,listingImpressionId,isBetterValueListing,hasRowLevelVfs,isDealScoreEligibleForDisplay,inventoryListingScore.starRating,inventoryListingScore.dealScore,inventoryListingScore.seatQualityScore,bestPriceTagMessage.message,bestPriceTagMessage.disclaimer,bestPriceTagMessage.hasValue,bestPriceTagMessage.featureTrackingKey,listingHighlightData.highlightSiteMessagesWithType,listingHighlightData.listingNoteIdsReplacedByHighlight,bestSellingInSectionMessage.message,bestSellingInSectionMessage.disclaimer,bestSellingInSectionMessage.hasValue,lastTicketInSectionMessage.message,lastTicketInSectionMessage.hasValue,strikeThroughPrice,strikeThroughDiscountPercent,strikeThroughAmountOff,suppressedMerchTags,bestDealTagMessage.message,bestDealTagMessage.hasValue,bestDealTagMessage.featureTrackingKey,bestViewTagMessage.message,bestViewTagMessage.disclaimer,bestViewTagMessage.hasValue,bestViewTagMessage.featureTrackingKey
13388121278,153020449,318,122911,318,2,26,24_24,24,24,24,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703917,False,False,Row 26,False,1439157,"¥1,439,157","¥1,439,157",10,Mobile Transfer ticket,3,1,USD,JPY,7500.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122911/0.jpg?im=Resize=(500,271)&v=771",2 hours ago,7,False,False,False,False,ckHZa%2bwvsyShYPHJqRhCi4aPD1cdDqp76gnlUMR915k%3d,False,2026-07-18T02:06:41.3700000Z,True,False,False,False,False,False,0,False,[2],False,False,False,False,0,True,False,0,13388121278,False,0F9334B2-A64E-41F4-BDD1-4ED3739EEA06,False,False,True,3,6.749158565732745,0.6640409074,Best price,Lowest priced listing for the selected quantity for this event on our site.,True,6aa8a73f-b069-4147-a316-ffc9e9280c2b,"[{'message': 'Popular Pick', 'qualifier': '6 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,
13388397359,153020449,327,122920,327,2,21,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113852,False,False,Row 21,False,1566851,"¥1,566,851","¥1,566,851",10,Mobile Transfer ticket,3,1,USD,JPY,5785.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",an hour ago,7,False,False,False,False,cErzIQzNgTB79u040s0q9PmhMPYnb2Lj3QTkOljQ4l4%3d,False,2026-07-18T03:25:19.1930000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13388397359,False,28CCBF75-738F-463C-B2EC-E22BB37A56C2,False,False,True,4,7.165918635277657,0.7609051932,,,,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '6 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,
13364577572,153020449,328,122921,328,2,21,13_14,,,13,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113872,False,False,Row 21,False,1569357,"¥1,569,357","¥1,569,357",10,Mobile Transfer ticket,3,1,GBP,JPY,4335.0,GBP,"https://img.vggcdn.net/img/vfsimage2/812551/407_122921/0.jpg?im=Resize=(500,271)&v=771",2 days ago,7,False,False,False,False,Fo4HkPkf7VUtcLPz5pdAf1WT62F9Nqv33%2fwSxVcODW4%3d,False,2026-07-15T22:38:48.5330000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13364577572,False,BE3D662C-8FFF-4904-82CF-4F694AD0FAD9,False,False,True,3,6.928266664910396,0.7408578652,,,,,"[{'message': 'Popular Pick', 'qualifier': '6 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,,,,,,,,,
13388518861,153020449,316,122909,316,2,7,1_1,1,1,1,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 14, 'formattedListingNoteContent': 'Aisle seat', 'displayOrder': 14, 'showsRawNoteText': True, 'sourceListingNoteId': 2024}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703854,False,False,Row 7,False,1579519,"¥1,579,519","¥1,579,519",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122909/0.jpg?im=Resize=(500,271)&v=771",an hour ago,9,False,False,False,False,etHI2wB3bx11eglg%2bQJdsF4ad34XG4KlT5ccZEesUyc%3d,False,2026-07-18T03:55:06.5200000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13388518861,False,AEA4E7BF-91BB-4E1C-B140-910FAA3C1D00,False,False,True,5,8.583226158341533,0.9219753701,,,,,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '6 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}, {'message': 'Aisle Seat', 'qualifier': 'Easy access to your seat', 'hasValue': True, 'messageType': 'AisleSeatTicketAttributeBased'}]",[2024],,,,Last ticket,True,,,,,,,,,,,
13388924717,153020449,319,122912,319,2,18,15_15,15,15,15,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703931,False,False,Row 18,False,1596187,"¥1,596,187","¥1,596,187",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122912/0.jpg?im=Resize=(500,271)&v=771",5 minutes ago,7,False,False,False,False,c%2bWcekBJvRtCDDs5%2fsgiQ0eMWcH4AiiWCIhVEXJ36Fk%3d,False,2026-07-18T04:57:28.0300000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13388924717,False,69522A2B-9245-4F81-8BAE-73CEF7C98BC1,False,False,True,3,6.548355450148648,0.7183404696,,,,,"[{'message': 'Popular Pick', 'qualifier': '6 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,
13388078820,153020449,324,122917,324,2,25,18_18,,,18,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113790,False,False,Row 25,False,1596346,"¥1,596,346","¥1,596,346",10,Mobile Transfer ticket,3,1,USD,JPY,4000.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122917/0.jpg?im=Resize=(500,271)&v=771",3 hours ago,7,False,False,False,False,uSAN43uU9I5sgxmPgGDPnq4w320L55IRC%2bIQ%2fmROA9o%3d,False,2026-07-18T01:57:06.2900000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13388078820,False,810BF7A6-EB78-45CF-B8B3-28B3387F7F79,False,False,True,3,6.643739150093334,0.7269352183,,,,,"[{'message': 'Popular Pick', 'qualifier': '6 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,Last ticket,True,,,,,,,,,,,
13387139253,153020449,319,122912,319,2,14,9_9,9,9,9,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703927,False,False,Row 14,False,1597064,"¥1,597,064","¥1,597,064",10,Mobile Transfer ticket,3,1,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122912/0.jpg?im=Resize=(500,271)&v=771",5 hours ago,7,False,False,False,False,hcWr0E0G0kk3aYdx3lrbuyX6hSTk5roSZ0ZorHll5vI%3d,False,2026-07-17T23:11:03.1370000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13387139253,False,E6A1B782-587B-4EC1-82DE-288BE5AC36F6,False,False,True,4,7.161251013343087,0.7751677852,,,,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '6 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,
13388100640,153020449,349,122942,349,2,17,13_13,13,13,13,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2114021,False,False,Row 17,False,1597064,"¥1,597,064","¥1,597,064",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122942/0.jpg?im=Resize=(500,271)&v=771",2 hours ago,7,False,False,False,False,hcWr0E0G0kk3aYdx3lrbuyX6hSTk5roSZ0ZorHll5vI%3d,False,2026-07-18T02:03:33.4600000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13388100640,False,7626624F-BAF6-419A-B1CA-6AC528108FA5,False,False,True,3,6.982846299512608,0.7592844362,,,,,"[{'message': 'Popular Pick', 'qualifier': '6 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,,,,,,,,,
13387500802,153020449,331,122924,331,2,24,28_28,28,28,28,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113939,False,False,Row 24,False,1597064,"¥1,597,064","¥1,597,064",10,Mobile Transfer ticket,3,1,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122924/0.jpg?im=Resize=(500,271)&v=771",5 hours ago,7,False,False,False,False,hcWr0E0G0kk3aYdx3lrbuyX6hSTk5roSZ0ZorHll5vI%3d,False,2026-07-17T23:52:41.3300000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13387500802,False,684B1E49-3CD5-4DFB-97E0-C34190CD2832,False,False,True,3,6.658237661607621,0.7285758278,,,,,"[{'message': 'Popular Pick', 'qualifier': '6 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,"¥2,018,730",21.0,"¥421,666",,,,,,,,
13384737142,153020449,311,122904,311,2,24,2_2,2,2,2,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703761,False,False,Row 24,False,1597064,"¥1,597,064","¥1,597,064",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122904/0.jpg?im=Resize=(500,271)&v=771",11 hours ago,5,False,False,False,False,hcWr0E0G0kk3aYdx3lrbuyX6hSTk5roSZ0ZorHll5vI%3d,False,2026-07-17T17:46:30.9170000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13384737142,False,2166216D-0FA4-4067-B1F9-89E8868D363D,False,False,True,2,4.950243481433535,0.5990306855,,,,,"[{'message': 'Popular Pick', 'qualifier': '6 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,
